geometry,nodes,building:levels,available_beds
"POLYGON ((13.3969262 52.526683, 13.396961 52.5265962, 13.3970458 52.5266103, 13.3972043 52.5266366, 13.3973105 52.5266726, 13.3973895 52.5266872, 13.3973592 52.5267525, 13.3971021 52.5267128, 13.3969262 52.526683))","[1503048137, 3903345716, 3903345726, 3903345739, 3903345963, 3903345969, 3903346002, 3903345983, 1503048137]",5,120
"POLYGON ((13.3961163 52.5258473, 13.3962126 52.5258618, 13.3962154 52.5258549, 13.3962263 52.5258566, 13.3962235 52.5258635, 13.3963127 52.5258769, 13.3963155 52.5258701, 13.3963274 52.5258719, 13.3963247 52.5258788, 13.3964207 52.5258933, 13.3964233 52.5258875, 13.3964981 52.525899, 13.3964959 52.5259068, 13.3965882 52.5259212, 13.3965912 52.5259141, 13.3966045 52.5259162, 13.3966015 52.5259233, 13.3966929 52.5259375, 13.3966958 52.5259304, 13.3967114 52.5259329, 13.3967085 52.52594, 13.3967974 52.5259538, 13.3968005 52.5259467, 13.3968169 52.5259493, 13.3968139 52.5259564, 13.3969058 52.5259707, 13.3969182 52.5259455, 13.3969077 52.5259436, 13.3969114 52.5259362, 13.3969218 52.5259381, 13.3969299 52.5259217, 13.3969194 52.5259198, 13.3969227 52.5259133, 13.3969331 52.5259152, 13.3969459 52.525889, 13.3969063 52.5258832, 13.3969037 52.5258896, 13.3968914 52.5258878, 13.396894 52.5258813, 13.3968833 52.5258797, 13.3968866 52.5258725, 13.3968982 52.5258745, 13.3969061 52.5258566, 13.39692 52.5258261, 13.3969084 52.5258241, 13.3969115 52.5258174, 13.39692 52.5258186, 13.3969221 52.5258138, 13.396936 52.5258158, 13.396934 52.5258208, 13.3969535 52.5258237, 13.3969818 52.5257652, 13.3969707 52.5257633, 13.3969732 52.5257578, 13.3969845 52.5257597, 13.3970089 52.5257092, 13.3967084 52.5256627, 13.3967092 52.5256601, 13.3967432 52.5255793, 13.396666 52.5255674, 13.3966858 52.525519, 13.3966878 52.5255151, 13.397173 52.5255894, 13.397232 52.5255983, 13.3973425 52.5256155, 13.3973267 52.525647, 13.3973458 52.5256502, 13.3973046 52.5257478, 13.3972907 52.5257452, 13.3972792 52.5257726, 13.3972858 52.5257737, 13.3972825 52.5257814, 13.3972759 52.5257804, 13.3972293 52.5258917, 13.3971827 52.5260028, 13.3971892 52.5260039, 13.3971852 52.5260135, 13.3971786 52.5260124, 13.3971671 52.5260406, 13.3971221 52.5261475, 13.3971114 52.5261458, 13.3971085 52.5261524, 13.3970894 52.5261493, 13.3970923 52.5261427, 13.3970454 52.5261352, 13.3970425 52.5261418, 13.39703 52.5261398, 13.3970328 52.5261331, 13.3970064 52.5261289, 13.3969971 52.5261485, 13.3969002 52.5261323, 13.396909 52.5261132, 13.3968611 52.5261055, 13.3968582 52.5261121, 13.3968476 52.5261104, 13.3968505 52.5261038, 13.3967578 52.5260889, 13.3967549 52.5260955, 13.3967442 52.5260938, 13.3967471 52.5260871, 13.3966547 52.5260723, 13.3966518 52.5260789, 13.3966402 52.526077, 13.3966431 52.5260704, 13.3965735 52.5260592, 13.3965599 52.52609, 13.3964404 52.5260698, 13.3964448 52.5260605, 13.3962873 52.5260347, 13.3962966 52.5260146, 13.3962744 52.5260111, 13.3962715 52.5260177, 13.3962598 52.5260158, 13.3962627 52.5260092, 13.3961649 52.5259934, 13.396162 52.5260001, 13.3961517 52.5259984, 13.3961546 52.5259918, 13.3960617 52.5259768, 13.3961163 52.5258473))","[3903344727, 3903344737, 3903344730, 3903344732, 3903344739, 3903344747, 3903344742, 3903344744, 3903344749, 3903344863, 3903344858, 3903344864, 3903344868, 3903344879, 3903344872, 3903344874, 3903344881, 3903344892, 3903344886, 3903344889, 3903344894, 3903344902, 3903344898, 3903344900, 3903344903, 3903344912, 3903344897, 3903344895, 3903344891, 3903344893, 3903344880, 3903344876, 3903344871, 3903344873, 3903344860, 3903344754, 3903344861, 3903344859, 3903344753, 3903344751, 3903344745, 3903344746, 3903344733, 3903344718, 3903344717, 3903344712, 3903344714, 3903344708, 3903344709, 3903344715, 3903344716, 3903344688, 3903344686, 3903344683, 3903344684, 3903344665, 3903344651, 3903344650, 3903344602, 3903344594, 3903344556, 3903344554, 3903344606, 3903344612, 3903344624, 3903344639, 3903344642, 3903344679, 3903344677, 3903344690, 3903344692, 3903344695, 3903344694, 3903344862, 3903344932, 3903344934, 3903344944, 3903344943, 3903344955, 3903345043, 3903345041, 3903345049, 3903345046, 3903345039, 3903345035, 3903345038, 3903345036, 3903345034, 3903345032, 3903345045, 3903345033, 3903345024, 3903345017, 3903345021, 3903345020, 3903345015, 3903345003, 3903345008, 3903345007, 3903345001, 3903344990, 3903345000, 3903344996, 3903344988, 3903344978, 3903345004, 3903344987, 3903344981, 3903344950, 3903344945, 3903344941, 3903344947, 3903344946, 3903344939, 3903344924, 3903344929, 3903344928, 3903344923, 3903344915, 3903344727]",6,210
"POLYGON ((13.3961402 52.5255791, 13.3961352 52.5255909, 13.3960852 52.5255839, 13.3961139 52.5255135, 13.3961573 52.5255202, 13.3961765 52.5254734, 13.3961582 52.5254706, 13.3961668 52.5254503, 13.3961848 52.525453, 13.3961921 52.5254355, 13.3966739 52.5255095, 13.3966775 52.5255012, 13.3966846 52.5255023, 13.3966783 52.5255178, 13.3966858 52.525519, 13.396666 52.5255674, 13.3967432 52.5255793, 13.3967092 52.5256601, 13.3967039 52.5256593, 13.3966987 52.5256719, 13.396611 52.5256587, 13.396615 52.5256494, 13.3966094 52.5256487, 13.3966083 52.5256508, 13.3961402 52.5255791))","[3903344601, 3903344608, 3903344604, 3903344552, 3903344557, 3903344526, 3903344525, 3903344517, 3903344518, 3903344502, 3903344550, 3903344545, 3903344546, 3903344555, 3903344556, 3903344594, 3903344602, 3903344650, 3903344649, 3903344654, 3903344648, 3903344641, 3903344640, 3903344643, 3903344601]",6,220
"POLYGON ((13.3791251 52.526407, 13.3790827 52.5266321, 13.3790791 52.5266624, 13.379066 52.5267439, 13.3792686 52.5267553, 13.3792751 52.5267076, 13.3793635 52.5267133, 13.3795251 52.5267226, 13.3795238 52.5267315, 13.3797792 52.5267454, 13.3797806 52.5267381, 13.3799997 52.526747, 13.3800404 52.5267487, 13.380032 52.5268015, 13.3802384 52.5268161, 13.3802528 52.5267298, 13.3802639 52.5266602, 13.3802887 52.5264781, 13.3801474 52.5264691, 13.3801463 52.5264817, 13.3798231 52.5264597, 13.3796106 52.526449, 13.3792578 52.5264299, 13.3792613 52.5264138, 13.3791251 52.526407))","[287022672, 538903549, 305019068, 287022673, 2656227516, 2656227508, 287022674, 8795775572, 8795775570, 8795775569, 8795775571, 1203692768, 1203301176, 1203301053, 287022678, 4643011507, 4643011505, 366103904, 1203301157, 1203301089, 1203301075, 1203301150, 1203301133, 1203301067, 287022672]",21,132
"POLYGON ((13.3780801 52.5265878, 13.3784629 52.5266161, 13.3784959 52.5266188, 13.3785147 52.5266196, 13.3785092 52.5266512, 13.3786634 52.5266626, 13.3787291 52.5266675, 13.3787329 52.526641, 13.3787398 52.52661, 13.3787466 52.5265565, 13.3787367 52.5265558, 13.3787462 52.526494, 13.3787569 52.5264944, 13.3787634 52.5264614, 13.3787704 52.5264253, 13.3787899 52.5263018, 13.3783478 52.5262734, 13.3783493 52.5262659, 13.3781384 52.5262541, 13.3780801 52.5265878))","[305018880, 8792830328, 1871746227, 2375854907, 8792829516, 8792829502, 8792830318, 305018881, 538903555, 8795775573, 3342715618, 3342715613, 538903823, 3353441393, 305019071, 2375854898, 3342715606, 2375854895, 305018883, 305018880]",5,145
"POLYGON ((13.3799997 52.526747, 13.3797806 52.5267381, 13.3797792 52.5267454, 13.3795238 52.5267315, 13.3795251 52.5267226, 13.3793635 52.5267133, 13.3793448 52.5268034, 13.3793169 52.5269764, 13.3792276 52.5269724, 13.3791436 52.5275261, 13.3799355 52.527581, 13.3800264 52.5270282, 13.3799534 52.527025, 13.3799997 52.526747))","[1203692768, 8795775571, 8795775569, 8795775570, 8795775572, 287022674, 538903028, 2656264761, 2656227525, 1203692558, 1203692757, 1203692684, 1203692590, 1203692768]",4,432
"POLYGON ((13.3696494 52.5353885, 13.3699628 52.5351158, 13.3698364 52.5350617, 13.3695233 52.5353342, 13.3694144 52.5352877, 13.3698192 52.5349357, 13.370224 52.5345837, 13.3703329 52.5346305, 13.3700193 52.5349029, 13.3701456 52.5349568, 13.370459 52.5346842, 13.3705576 52.5347254, 13.3705568 52.5347261, 13.3705921 52.5347414, 13.3706429 52.5347626, 13.3706437 52.5347619, 13.3706569 52.5347676, 13.3706344 52.5347872, 13.3706869 52.5348096, 13.370743 52.5348336, 13.3706669 52.5348998, 13.3706115 52.5348761, 13.3705583 52.5348534, 13.3704046 52.5349871, 13.3704365 52.5350008, 13.3704298 52.5350067, 13.3704679 52.535023, 13.370515 52.5350431, 13.3708731 52.5351962, 13.3708132 52.5352483, 13.3708838 52.5352784, 13.3708883 52.5352941, 13.3707361 52.5354265, 13.3707104 52.5354293, 13.3706399 52.5353991, 13.37058 52.5354512, 13.3703859 52.5353682, 13.3703074 52.5353347, 13.3702736 52.5353641, 13.3701288 52.5353022, 13.3701558 52.5352787, 13.3700979 52.5352539, 13.3699442 52.5353877, 13.3700528 52.5354341, 13.3699767 52.5355003, 13.3698681 52.5354539, 13.3698465 52.5354727, 13.3696494 52.5353885))","[349135004, 349135056, 349135051, 349135037, 349135043, 3283742192, 349135038, 349135036, 349135047, 349135062, 349135003, 3344192325, 3344192321, 3344192322, 3344192327, 3344192326, 3344192329, 3344192328, 4622711137, 4210455406, 4210455409, 4622711138, 3344192337, 4210455416, 3344192356, 3344192357, 4210455430, 4210455434, 674106593, 674106586, 674106608, 4210455445, 4210455460, 4210455462, 4210455455, 4210455469, 4210455447, 3344192354, 3344192355, 349135006, 674106601, 671063410, 3344192339, 4210455465, 4210455476, 614637030, 671063406, 349135004]",6,123
"POLYGON ((13.3702894 52.5354521, 13.3703859 52.5353682, 13.37058 52.5354512, 13.3706399 52.5353991, 13.3707104 52.5354293, 13.3707361 52.5354265, 13.3707476 52.5354314, 13.3705811 52.5355768, 13.3702894 52.5354521))","[674105795, 4210455447, 4210455469, 4210455455, 4210455462, 4210455460, 4210455463, 4210456589, 674105795]",1,32
"POLYGON ((13.370566 52.5350155, 13.3705617 52.535016, 13.3705594 52.5350163, 13.370553 52.5350177, 13.370547 52.5350196, 13.3705414 52.535022, 13.3705347 52.535026, 13.370515 52.5350431, 13.3704679 52.535023, 13.3704907 52.5350032, 13.3705032 52.5349956, 13.3705177 52.5349893, 13.3705282 52.534986, 13.3705509 52.5349815, 13.3705627 52.5349804, 13.3705806 52.5349803, 13.3705988 52.5349821, 13.3706178 52.5349862, 13.3706267 52.534989, 13.3709082 52.5351095, 13.3710485 52.5351696, 13.3710155 52.5351983, 13.3708755 52.5351376, 13.3705941 52.5350182, 13.3705874 52.5350166, 13.3705804 52.5350156, 13.3705732 52.5350152, 13.370566 52.5350155))","[4210455423, 4622711136, 4210455425, 4210455426, 4210455428, 4210455429, 4210455432, 4210455434, 4210455430, 349135034, 4210455420, 4210455417, 4210455415, 4210455414, 349135032, 3344192331, 3344192330, 3344192333, 3344192336, 4622711132, 4210455440, 4210455443, 3344192347, 349135033, 349135035, 674105788, 4210455422, 4210455423]",2,231
"POLYGON ((13.3705062 52.5343383, 13.3706723 52.5341939, 13.371113 52.5343822, 13.3707506 52.5346981, 13.3706786 52.5346676, 13.370643 52.5346524, 13.3705155 52.534598, 13.3707408 52.5344013, 13.3706453 52.5343605, 13.3706164 52.5343854, 13.3705062 52.5343383))","[349135071, 349135070, 349135068, 349135073, 3344192320, 3344192319, 349135074, 349135072, 4225753860, 4225753863, 349135071]",3,46
