,latitude,longitude,speeds
0,52.55407,13.4446,3.0
1,52.55407,13.4446,3.0
2,52.55411,13.44445,3.0
3,52.55414,13.44432,3.0
4,52.55414,13.44432,3.0
5,52.55417,13.44421,3.0
6,52.55459,13.44265,3.0
7,52.55476,13.44202,3.0
8,52.55478,13.44196,3.0
9,52.55478,13.44196,3.0
10,52.55487,13.44162,3.0
11,52.55487,13.44162,3.0
12,52.5551,13.44076,3.0
13,52.5551,13.44076,3.0
14,52.55527,13.44012,3.0
15,52.55527,13.44012,3.0
16,52.55529,13.44005,3.0
17,52.55529,13.44005,3.0
18,52.55541,13.43967,3.0
19,52.55541,13.43967,3.0
20,52.55544,13.43951,3.0
21,52.55544,13.43951,3.0
22,52.55547,13.43942,3.0
23,52.55547,13.43942,3.0
24,52.55551,13.43944,3.0
25,52.55555,13.43944,3.0
26,52.5556,13.43942,3.0
27,52.55565,13.43938,3.0
28,52.55565,13.43938,3.0
29,52.55569,13.43928,3.0
30,52.55571,13.43917,3.0
31,52.5557,13.43907,3.0
32,52.55567,13.43897,3.0
33,52.55561,13.43889,3.0
34,52.55561,13.43889,3.0
35,52.55565,13.43872,3.0
36,52.55565,13.43872,3.0
37,52.55589,13.43785,3.0
38,52.55589,13.43785,3.0
39,52.55601,13.4374,3.0
40,52.55601,13.4374,3.0
41,52.55642,13.43591,3.0
42,52.55642,13.43591,3.0
43,52.55644,13.43583,3.0
44,52.55646,13.43574,3.0
45,52.55646,13.43574,3.0
46,52.55659,13.43528,3.0
47,52.5569,13.43415,3.0
48,52.55708,13.43346,3.0
49,52.55715,13.4332,3.0
50,52.55721,13.43303,3.0
51,52.55727,13.43291,3.0
52,52.55733,13.43283,3.0
53,52.55733,13.43283,3.0
54,52.55758,13.43258,3.0
55,52.55758,13.43258,3.0
56,52.55763,13.43254,3.0
57,52.55763,13.43254,3.0
58,52.55769,13.43248,3.0
59,52.55769,13.43248,2.0
60,52.55758,13.43221,2.0
61,52.55758,13.43221,2.0
62,52.55744,13.43183,2.0
63,52.55734,13.43153,2.0
64,52.55724,13.43127,2.0
65,52.557,13.43059,2.0
66,52.55695,13.43044,2.0
67,52.55695,13.43044,2.0
68,52.55685,13.43016,2.0
69,52.55669,13.42973,2.0
70,52.55669,13.42973,2.0
71,52.5566,13.42947,2.0
72,52.55653,13.42938,2.0
73,52.55644,13.42925,2.0
74,52.55644,13.42925,2.0
75,52.5564,13.42907,2.0
76,52.5564,13.42907,2.0
77,52.55622,13.42858,2.0
78,52.55622,13.42858,2.0
79,52.55611,13.42828,2.0
80,52.55611,13.42828,2.0
81,52.55543,13.42647,2.0
82,52.55543,13.42647,2.0
83,52.55541,13.42642,2.0
84,52.55541,13.42642,2.0
85,52.55511,13.42555,2.0
86,52.55511,13.42499,2.0
87,52.55511,13.42499,2.0
88,52.5551,13.42353,2.0
89,52.5551,13.42353,2.0
90,52.55511,13.42499,2.0
91,52.55511,13.42499,2.0
92,52.55511,13.42555,2.0
93,52.55541,13.42642,2.0
94,52.55541,13.42642,2.0
95,52.55543,13.42647,2.0
96,52.55543,13.42647,2.0
97,52.55611,13.42828,2.0
98,52.55611,13.42828,2.0
99,52.55622,13.42858,2.0
100,52.55622,13.42858,2.0
101,52.5564,13.42907,2.0
102,52.5564,13.42907,2.0
