time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-12-23 00:00:00,-3.4,-4.1,95,0,,175,11.1,18.5,1022.8,0,2
2021-12-23 01:00:00,-3.4,-4.2,94,0,0,169,11.1,18.5,1022.1,0,2
2021-12-23 02:00:00,-3.4,-4.2,94,0,,167,11.1,18.5,1021.6,0,2
2021-12-23 03:00:00,-3.5,-4.3,94,0,,169,11.1,18.5,1020.9,0,2
2021-12-23 04:00:00,-3.5,-4.5,93,0,,170,11.1,20.4,1020.2,0,3
2021-12-23 05:00:00,-3.3,-4.4,92,0,,167,11.1,18.5,1019.4,0,3
2021-12-23 06:00:00,-3.2,-4.5,91,0,,167,11.1,18.5,1018.3,0,3
2021-12-23 07:00:00,-3.1,-4.7,89,0,0,166,11.1,20.4,1017.1,0,3
2021-12-23 08:00:00,-3,-4.6,89,0,,165,11.1,20.4,1016,0,3
2021-12-23 09:00:00,-2.8,-4.7,87,0,,168,11.1,20.4,1015.1,0,4
2021-12-23 10:00:00,-2.3,-4.6,84,0,,170,11.1,22.2,1014.5,0,4
2021-12-23 11:00:00,-1,-4,80,0,,173,11.1,22.2,1013.2,0,4
2021-12-23 12:00:00,-0.2,-4.6,72,0,,180,13,24.1,1012.1,0,4
2021-12-23 13:00:00,0.1,-4.7,70,0,0,184,13,24.1,1010.9,0,4
2021-12-23 14:00:00,0.5,-4.5,69,0,,189,11.1,24.1,1009.9,0,4
2021-12-23 15:00:00,0.6,-4.4,69,0,,194,11.1,24.1,1008.7,0,4
2021-12-23 16:00:00,0.3,-3.6,75,0,,202,13,22.2,1008.1,0,14
2021-12-23 17:00:00,0.1,-3.1,79,0.1,,207,11.1,22.2,1007.5,0,14
2021-12-23 18:00:00,-0.1,-2.5,84,0.1,,210,11.1,22.2,1006.4,0,14
2021-12-23 19:00:00,-0.1,-1.7,89,0.2,20,215,13,24.1,1005.4,0,14
2021-12-23 20:00:00,-0.4,-1.2,94,0.5,,219,13,24.1,1004.4,0,14
2021-12-23 21:00:00,-0.2,-0.8,96,0.6,,223,14.8,24.1,1003.4,0,14
2021-12-23 22:00:00,0.2,-0.2,97,0.6,,228,13,24.1,1002.5,0,14
2021-12-23 23:00:00,0.6,0.2,97,0.5,,233,13,25.9,1002,0,14
2021-12-24 00:00:00,1,0.9,99,0.4,,239,13,25.9,1001.1,0,8
2021-12-24 01:00:00,1.5,1.4,99,0.5,40,245,13,25.9,1000.5,0,8
2021-12-24 02:00:00,1.8,1.8,100,1.1,,253,14.8,25.9,999.8,0,8
2021-12-24 03:00:00,2,2,100,1.1,,248,13,25.9,999,0,8
2021-12-24 04:00:00,2.4,2.4,100,1.3,,254,13,25.9,998.6,0,8
2021-12-24 05:00:00,2.6,2.5,99,0.4,,259,14.8,25.9,998,0,8
2021-12-24 06:00:00,2.7,2.7,100,0.4,,261,13,25.9,997.9,0,8
2021-12-24 07:00:00,3,3,100,0.3,0,263,14.8,25.9,997.8,0,8
2021-12-24 08:00:00,3.2,3.2,100,0.7,,268,14.8,25.9,997.7,0,7
2021-12-24 09:00:00,3.5,3.5,100,0.6,,272,14.8,25.9,997.5,0,7
2021-12-24 10:00:00,3.6,3.6,100,0.5,,282,14.8,27.8,997.8,0,8
2021-12-24 11:00:00,3.2,3.2,100,0.5,,290,13,25.9,998.6,0,7
2021-12-24 12:00:00,3,3,100,0.4,,295,14.8,27.8,998.8,0,7
2021-12-24 13:00:00,2.8,2.8,100,0.3,0,303,13,27.8,998.8,0,7
2021-12-24 14:00:00,2.5,2.5,100,0.4,,305,13,27.8,999.1,0,7
2021-12-24 15:00:00,2.1,2.1,100,0.4,,310,14.8,27.8,999.4,0,7
2021-12-24 16:00:00,1.9,1.9,100,0.3,,312,14.8,29.6,1000.3,0,7
2021-12-24 17:00:00,1.4,1.4,100,0.3,,315,14.8,29.6,1001.1,0,12
2021-12-24 18:00:00,1.1,1.1,100,0.3,,320,16.7,31.5,1002,0,14
2021-12-24 19:00:00,0.7,0.6,99,0.2,0,327,16.7,33.3,1003,0,14
2021-12-24 20:00:00,0.1,-0.5,96,0.1,,330,16.7,33.3,1004.1,0,14
2021-12-24 21:00:00,-0.5,-1.3,94,0.1,,334,16.7,31.5,1005.3,0,14
2021-12-24 22:00:00,-0.9,-2.6,88,0,,338,14.8,31.5,1006.3,0,4
2021-12-24 23:00:00,-0.9,-2.5,89,0,,352,13,27.8,1007.1,0,4
2021-12-25 00:00:00,-1.9,-2.9,93,0,,358,13,24.1,1008.3,0,3
2021-12-25 01:00:00,-2.8,-3.9,92,0,0,354,11.1,20.4,1008.8,0,2
2021-12-25 02:00:00,-3.6,-4.4,94,0,,354,9.3,20.4,1009.9,0,2
2021-12-25 03:00:00,-4.4,-5.2,94,0,,354,9.3,18.5,1010.8,0,2
2021-12-25 04:00:00,-4.8,-5.8,93,0,,353,9.3,16.7,1011.2,0,2
2021-12-25 05:00:00,-5.1,-6.3,91,0,,351,7.4,16.7,1012,0,1
2021-12-25 06:00:00,-5.4,-6.8,90,0,,341,7.4,13,1012.3,0,1
2021-12-25 07:00:00,-5.5,-7,89,0,0,343,5.5,13,1012.5,0,1
2021-12-25 08:00:00,-5.7,-7.2,89,0,,327,5.5,11.1,1012.8,0,1
2021-12-25 09:00:00,-5.5,-7.2,88,0,,323,5.5,11.1,1013.1,4,1
2021-12-25 10:00:00,-5.1,-7.2,85,0,,318,5.5,11.1,1013.4,60,1
2021-12-25 11:00:00,-3.7,-7,78,0,,314,3.7,11.1,1013.7,60,1
2021-12-25 12:00:00,-3.1,-7.4,72,0,,301,5.5,11.1,1013.9,60,1
2021-12-25 13:00:00,-2.7,-8,67,0,0,289,5.5,11.1,1013.8,60,1
2021-12-25 14:00:00,-2.6,-8.3,65,0,,286,5.5,11.1,1014.1,60,1
2021-12-25 15:00:00,-2.8,-8.5,65,0,,294,5.5,11.1,1014.2,60,1
2021-12-25 16:00:00,-3.5,-8.4,69,0,,284,5.5,11.1,1014.6,31,1
2021-12-25 17:00:00,-4.9,-8.7,75,0,,291,3.7,7.4,1014.6,0,1
2021-12-25 18:00:00,-5.7,-8.4,81,0,,241,3.7,7.4,1015,0,1
2021-12-25 19:00:00,-6.1,-8.4,84,0,0,237,5.5,9.3,1015.3,0,1
2021-12-25 20:00:00,-6.5,-8.3,87,0,,221,5.5,9.3,1015.5,0,1
2021-12-25 21:00:00,-7.1,-8.2,92,0,,219,5.5,9.3,1015.6,0,1
2021-12-25 22:00:00,-7.5,-8.3,94,0,,206,5.5,9.3,1015.7,0,1
2021-12-25 23:00:00,-7.6,-8.3,95,0,,196,5.5,9.3,1015.9,0,1
2021-12-26 00:00:00,-8.2,-8.3,99,0,,197,5.5,11.1,1015.8,0,1
2021-12-26 01:00:00,-8.6,-8.7,99,0,0,182,5.5,11.1,1015.7,0,1
2021-12-26 02:00:00,-8.9,-8.9,100,0,,165,5.5,11.1,1015.8,0,1
2021-12-26 03:00:00,-9.4,-9.4,100,0,,160,5.5,11.1,1015.8,0,1
2021-12-26 04:00:00,-9.7,-9.7,100,0,,148,5.5,11.1,1015.6,0,1
2021-12-26 05:00:00,-9.8,-10.1,98,0,,135,7.4,11.1,1015.1,0,1
2021-12-26 06:00:00,-9.9,-10.2,98,0,,132,7.4,13,1015,0,1
2021-12-26 07:00:00,-10,-10.4,97,0,0,125,7.4,13,1014.8,0,1
2021-12-26 08:00:00,-9.8,-10.2,97,0,,117,7.4,14.8,1015.1,0,1
2021-12-26 09:00:00,-9.2,-10.3,92,0,,113,7.4,16.7,1015.4,4,1
2021-12-26 10:00:00,-8.3,-10.1,87,0,,110,7.4,16.7,1015.4,60,1
2021-12-26 11:00:00,-5.9,-9.5,76,0,,116,9.3,16.7,1015,60,1
2021-12-26 12:00:00,-5.3,-9.2,74,0,,114,9.3,18.5,1015,60,1
2021-12-26 13:00:00,-4.6,-9.4,69,0,0,112,9.3,20.4,1014.7,60,1
